,PredictedClose
2024-01-23,943.151127736108
2024-01-24,945.7585360290733
2024-01-25,948.3659443220387
2024-01-26,950.973352615004
2024-01-29,958.7955774939
2024-01-30,961.5743215330992
2024-01-31,964.3530655722984
2024-02-01,967.1318096114976
2024-02-02,969.9105536506968
2024-02-05,978.2467857682943
2024-02-06,982.1540252000755
2024-02-07,986.0612646318566
2024-02-08,989.9685040636377
2024-02-09,993.875743495419
2024-02-12,1005.5974617907624
2024-02-13,1008.6027681570768
2024-02-14,1011.6080745233912
2024-02-15,1014.6133808897056
2024-02-16,1017.6186872560199
2024-02-19,1026.6346063549631
2024-02-20,1028.786137339699
2024-02-21,1030.9376683244348
2024-02-22,1033.0891993091707
2024-02-23,1035.2407302939064
2024-02-26,1041.695323248114
2024-02-27,1043.5371942932459
2024-02-28,1045.3790653383776
2024-02-29,1047.2209363835095
2024-03-01,1049.0628074286412
2024-03-04,1054.5884205640368
2024-03-05,1054.595278750285
2024-03-06,1054.6021369365328
2024-03-07,1054.608995122781
2024-03-08,1054.615853309029
2024-03-11,1054.6364278677731
2024-03-12,1051.6647948023844
2024-03-13,1048.6931617369955
2024-03-14,1045.7215286716068
2024-03-15,1042.749895606218
2024-03-18,1033.8349964100516
2024-03-19,1026.7382037649443
2024-03-20,1019.641411119837
2024-03-21,1012.5446184747298
2024-03-22,1005.4478258296224
2024-03-25,984.1574478943005
2024-03-26,975.7717847983146
2024-03-27,967.3861217023285
2024-03-28,959.0004586063426
2024-03-29,950.6147955103565
2024-04-01,925.4578062223986
2024-04-02,917.6763531272763
2024-04-03,909.894900032154
2024-04-04,902.1134469370318
2024-04-05,894.3319938419096
2024-04-08,870.9876345565427
2024-04-09,864.3411464285393
2024-04-10,857.6946583005358
2024-04-11,851.0481701725324
2024-04-12,844.401682044529
2024-04-15,824.4622176605187
2024-04-16,819.8587046619858
2024-04-17,815.2551916634529
2024-04-18,810.65167866492
2024-04-19,806.0481656663873
2024-04-22,792.2376266707886
2024-04-23,790.4077066307532
2024-04-24,788.5777865907179
2024-04-25,786.7478665506825
2024-04-26,784.9179465106472
2024-04-29,779.4281863905411
2024-04-30,780.9945567931038
2024-05-01,782.5609271956665
2024-05-02,784.1272975982292
2024-05-03,785.693668000792
2024-05-06,790.3927792084801
